tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
tt0079116,movie,Escape from Alcatraz,Escape from Alcatraz,0,1979,\N,112,"Action,Biography,Crime"
tt0080025,movie,Time After Time,Time After Time,0,1979,\N,112,"Adventure,Drama,Sci-Fi"
tt0080319,movie,9 to 5,Nine to Five,0,1980,\N,109,Comedy
tt0080391,movie,Attack of the Killer Tomatoes!,Attack of the Killer Tomatoes!,0,1978,\N,83,"Adventure,Comedy,Horror"
tt0080492,movie,Can't Stop the Music,Can't Stop the Music,0,1980,\N,124,"Biography,Comedy,Musical"
tt0080556,movie,The Competition,The Competition,0,1980,\N,123,"Drama,Music,Romance"
tt0080854,movie,Heart Beat,Heart Beat,0,1980,\N,110,Drama
tt0081485,movie,Serial,Serial,0,1980,\N,86,Comedy
tt0082177,movie,Chu Chu and the Philly Flash,Chu Chu and the Philly Flash,0,1981,\N,92,Comedy
tt0083129,movie,Street Music,Street Music,0,1981,\N,93,Drama
tt0083728,movie,Chan Is Missing,Chan Is Missing,0,1982,\N,76,"Drama,Mystery"
tt0084675,movie,Shoot the Moon,Shoot the Moon,0,1982,\N,124,Drama
tt0084726,movie,Star Trek II: The Wrath of Khan,Star Trek II: The Wrath of Khan,0,1982,\N,113,"Action,Adventure,Sci-Fi"
tt0086197,movie,The Right Stuff,The Right Stuff,0,1983,\N,193,"Adventure,Biography,Drama"
tt0086383,movie,Sudden Impact,Sudden Impact,0,1983,\N,117,"Action,Crime,Thriller"
tt0087096,movie,Crackers,Crackers,0,1984,\N,91,"Adventure,Comedy,Crime"
tt0087150,movie,Dim Sum: A Little Bit of Heart,Dim Sum: A Little Bit of Heart,0,1985,\N,84,"Comedy,Drama"
tt0087384,movie,Hard to Hold,Hard to Hold,0,1984,\N,93,"Comedy,Drama,Music"
tt0088256,movie,Thief of Hearts,Thief of Hearts,0,1984,\N,100,"Crime,Drama,Thriller"
tt0088275,movie,The Times of Harvey Milk,The Times of Harvey Milk,0,1984,\N,90,"Biography,Documentary,History"
tt0088414,movie,The Woman in Red,The Woman in Red,0,1984,\N,87,"Comedy,Romance"
tt0089360,movie,Jagged Edge,Jagged Edge,0,1985,\N,108,"Drama,Mystery,Thriller"
tt0089569,movie,Maxie,Maxie,0,1985,\N,98,"Comedy,Fantasy"
tt0090264,movie,A View to a Kill,A View to a Kill,0,1985,\N,131,"Action,Adventure,Thriller"
tt0090728,movie,Big Trouble in Little China,Big Trouble in Little China,0,1986,\N,99,"Action,Adventure,Comedy"
tt0091323,movie,Kamikaze Hearts,Kamikaze Hearts,0,1986,\N,87,Drama
tt0091814,movie,Quicksilver,Quicksilver,0,1986,\N,105,"Crime,Drama,Thriller"
tt0092007,movie,Star Trek IV: The Voyage Home,Star Trek IV: The Voyage Home,0,1986,\N,119,"Action,Adventure,Comedy"
tt0092710,movie,Burglar,Burglar,0,1987,\N,103,"Comedy,Crime"
tt0093260,movie,Innerspace,Innerspace,0,1987,\N,120,"Action,Adventure,Comedy"
tt0094715,movie,Beaches,Beaches,0,1988,\N,123,"Comedy,Drama,Music"
tt0094933,movie,D.O.A.,D.O.A.,0,1988,\N,96,"Mystery,Thriller"
tt0094963,movie,The Dead Pool,The Dead Pool,0,1988,\N,91,"Action,Crime,Mystery"
tt0095836,movie,Patty Hearst,Patty Hearst,0,1988,\N,108,"Biography,Drama"
tt0095897,movie,The Presidio,The Presidio,0,1988,\N,97,"Action,Crime,Mystery"
tt0096316,movie,Tucker: The Man and His Dream,Tucker: The Man and His Dream,0,1988,\N,110,"Biography,Comedy,Drama"
tt0097027,movie,Casualties of War,Casualties of War,0,1989,\N,113,"Action,Crime,Drama"
tt0097099,movie,Common Threads: Stories from the Quilt,Common Threads: Stories from the Quilt,0,1989,\N,79,"Biography,Documentary,History"
tt0097336,movie,Fat Man and Little Boy,Fat Man and Little Boy,0,1989,\N,127,"Biography,Drama,History"
tt0097576,movie,Indiana Jones and the Last Crusade,Indiana Jones and the Last Crusade,0,1989,\N,127,"Action,Adventure"
tt0098524,movie,True Believer,True Believer,0,1989,\N,108,"Crime,Drama,Mystery"
tt0099044,movie,Another 48 Hrs.,Another 48 Hrs.,0,1990,\N,95,"Action,Comedy,Crime"
tt0100318,movie,Pacific Heights,Pacific Heights,0,1990,\N,102,Thriller
tt0100405,movie,Pretty Woman,Pretty Woman,0,1990,\N,119,"Comedy,Romance"
tt0101458,movie,Until the End of the World,Bis ans Ende der Welt,0,1991,\N,158,"Action,Drama,Sci-Fi"
tt0101590,movie,Class Action,Class Action,0,1991,\N,110,"Drama,Thriller"
tt0101746,movie,The Doctor,The Doctor,0,1991,\N,122,Drama
tt0101761,movie,The Doors,The Doors,0,1991,\N,140,"Biography,Drama,Music"
tt0101787,movie,Dying Young,Dying Young,0,1991,\N,111,"Drama,Romance"
tt0102900,movie,Shattered,Shattered,0,1991,\N,98,"Crime,Drama,Mystery"
tt0102975,movie,Star Trek VI: The Undiscovered Country,Star Trek VI: The Undiscovered Country,0,1991,\N,110,"Action,Adventure,Sci-Fi"
tt0103192,movie,Vegas in Space,Vegas in Space,0,1991,\N,85,"Comedy,Sci-Fi"
tt0103772,movie,Basic Instinct,Basic Instinct,0,1992,\N,127,"Drama,Mystery,Thriller"
tt0104265,movie,Final Analysis,Final Analysis,0,1992,\N,124,"Drama,Thriller"
tt0104850,movie,Memoirs of an Invisible Man,Memoirs of an Invisible Man,0,1992,\N,99,"Comedy,Romance,Sci-Fi"
tt0105217,movie,Raising Cain,Raising Cain,0,1992,\N,92,"Crime,Drama,Horror"
tt0105417,movie,Sister Act,Sister Act,0,1992,\N,100,"Comedy,Family,Music"
tt0105435,movie,Sneakers,Sneakers,0,1992,\N,126,"Comedy,Crime,Drama"
tt0106246,movie,Alive,Alive,0,1993,\N,128,"Biography,Drama,Thriller"
tt0106881,movie,Fearless,Fearless,0,1993,\N,122,"Drama,Thriller"
tt0107091,movie,Heart and Souls,Heart and Souls,0,1993,\N,104,"Comedy,Drama,Fantasy"
tt0107282,movie,The Joy Luck Club,The Joy Luck Club,0,1993,\N,139,Drama
tt0107614,movie,Mrs. Doubtfire,Mrs. Doubtfire,0,1993,\N,125,"Comedy,Drama"
tt0107688,movie,The Nightmare Before Christmas,The Nightmare Before Christmas,0,1993,\N,76,"Animation,Family,Fantasy"
tt0108147,movie,Sister Act 2: Back in the Habit,Sister Act 2: Back in the Habit,0,1993,\N,107,"Comedy,Family,Music"
tt0108174,movie,So I Married an Axe Murderer,So I Married an Axe Murderer,0,1993,\N,93,"Comedy,Romance"
tt0109830,movie,Forrest Gump,Forrest Gump,0,1994,\N,142,"Drama,Romance"
tt0109891,movie,Getting Even with Dad,Getting Even with Dad,0,1994,\N,109,"Comedy,Crime,Family"
tt0109917,movie,Golden Gate,Golden Gate,0,1993,\N,91,"Crime,Drama"
tt0110216,movie,Junior,Junior,0,1994,\N,109,"Comedy,Romance,Sci-Fi"
tt0110671,movie,Nina Takes a Lover,Nina Takes a Lover,0,1994,\N,98,"Comedy,Drama,Romance"
tt0111693,movie,When a Man Loves a Woman,When a Man Loves a Woman,0,1994,\N,126,"Drama,Romance"
tt0112722,movie,Copycat,Copycat,0,1995,\N,123,"Drama,Mystery,Thriller"
tt0113451,movie,Jade,Jade,0,1995,\N,95,"Crime,Drama,Thriller"
tt0113957,movie,The Net,The Net,0,1995,\N,114,"Action,Crime,Drama"
tt0113986,movie,Nine Months,Nine Months,0,1995,\N,103,"Comedy,Romance"
tt0115285,tvSeries,Nash Bridges,Nash Bridges,0,1996,2001,60,"Action,Crime,Drama"
tt0116130,movie,Down Periscope,Down Periscope,0,1996,\N,92,Comedy
tt0116141,movie,Dream for an Insomniac,Dream for an Insomniac,0,1996,\N,90,"Comedy,Drama,Romance"
tt0116277,movie,The Fan,The Fan,0,1996,\N,116,"Action,Drama,Sport"
tt0116483,movie,Happy Gilmore,Happy Gilmore,0,1996,\N,92,"Comedy,Sport"
tt0116552,movie,Homeward Bound II: Lost in San Francisco,Homeward Bound II: Lost in San Francisco,0,1996,\N,88,"Adventure,Comedy,Family"
tt0116669,movie,Jack,Jack,0,1996,\N,113,"Comedy,Drama,Fantasy"
tt0116683,movie,James and the Giant Peach,James and the Giant Peach,0,1996,\N,79,"Adventure,Animation,Family"
tt0117091,movie,Mother,Mother,0,1996,\N,104,"Comedy,Drama"
tt0117333,movie,Phenomenon,Phenomenon,0,1996,\N,123,"Drama,Fantasy,Romance"
tt0117500,movie,The Rock,The Rock,0,1996,\N,136,"Action,Adventure,Thriller"
tt0117918,movie,Tin Cup,Tin Cup,0,1996,\N,135,"Comedy,Drama,Romance"
tt0118966,movie,Desperate Measures,Desperate Measures,0,1998,\N,100,"Action,Crime,Drama"
tt0118998,movie,Doctor Dolittle,Doctor Dolittle,0,1998,\N,85,"Comedy,Family,Fantasy"
tt0119019,movie,Dream with the Fishes,Dream with the Fishes,0,1997,\N,97,"Comedy,Drama"
tt0119109,movie,Fathers' Day,Fathers' Day,0,1997,\N,98,"Comedy,Romance"
tt0119137,movie,Flubber,Flubber,0,1997,\N,93,"Comedy,Family,Sci-Fi"
tt0119174,movie,The Game,The Game,0,1997,\N,129,"Drama,Mystery,Thriller"
tt0119190,movie,George of the Jungle,George of the Jungle,0,1997,\N,92,"Action,Adventure,Comedy"
tt0119664,movie,Metro,Metro,0,1997,\N,117,"Action,Comedy,Crime"
tt0120151,movie,A Smile Like Yours,A Smile Like Yours,0,1997,\N,98,"Comedy,Romance"
tt0120184,movie,Sphere,Sphere,0,1998,\N,134,"Action,Mystery,Sci-Fi"
tt0120596,movie,The Bachelor,The Bachelor,0,1999,\N,101,"Comedy,Romance"
tt0120632,movie,City of Angels,City of Angels,0,1998,\N,114,"Drama,Fantasy,Romance"
tt0120703,movie,How Stella Got Her Groove Back,How Stella Got Her Groove Back,0,1998,\N,124,"Comedy,Drama,Romance"
tt0120783,movie,The Parent Trap,The Parent Trap,0,1998,\N,128,"Adventure,Comedy,Drama"
tt0120889,movie,What Dreams May Come,What Dreams May Come,0,1998,\N,113,"Drama,Fantasy,Romance"
tt0123209,movie,The Other Sister,The Other Sister,0,1999,\N,129,"Comedy,Drama,Romance"
tt0129290,movie,Patch Adams,Patch Adams,0,1998,\N,115,"Biography,Comedy,Drama"
tt0131369,movie,Edtv,EDtv,0,1999,\N,122,"Comedy,Drama"
tt0133093,movie,The Matrix,The Matrix,0,1999,\N,136,"Action,Sci-Fi"
tt0139030,movie,Around the Fire,Around the Fire,0,1998,\N,106,Drama
tt0145531,movie,Stigmata,Stigmata,0,1999,\N,103,"Horror,Mystery"
tt0165929,movie,Romeo Must Die,Romeo Must Die,0,2000,\N,115,"Action,Crime,Thriller"
tt0177215,movie,Seven Girlfriends,Seven Girlfriends,0,1999,\N,99,"Comedy,Romance"
tt0182789,movie,Bicentennial Man,Bicentennial Man,0,1999,\N,132,"Drama,Romance,Sci-Fi"
tt0187559,movie,Playing Mona Lisa,Playing Mona Lisa,0,2000,\N,97,Comedy
tt0201901,movie,Just One Night,Just One Night,0,2000,\N,90,Comedy
tt0204175,movie,Boys and Girls,Boys and Girls,0,2000,\N,94,"Comedy,Drama,Romance"
tt0206420,movie,Woman on Top,Woman on Top,0,2000,\N,92,"Comedy,Fantasy,Romance"
tt0208866,movie,Mission,Mission,0,2001,\N,89,\N
tt0209475,movie,The Wedding Planner,The Wedding Planner,0,2001,\N,103,"Comedy,Romance"
tt0212974,movie,Groove,Groove,0,2000,\N,86,"Drama,Music"
tt0230030,movie,Bedazzled,Bedazzled,0,2000,\N,93,"Comedy,Fantasy"
tt0230838,movie,Sweet November,Sweet November,0,2001,\N,119,"Drama,Romance"
tt0237397,movie,The Last of the Gladiators,The Last of the Gladiators,0,1988,\N,103,Documentary
tt0240462,movie,Dr. Dolittle 2,Dr. Dolittle 2,0,2001,\N,87,"Comedy,Family,Fantasy"
tt0240880,movie,Sausalito,Yi jian zhong qing,0,2000,\N,98,Romance
tt0240890,movie,Serendipity,Serendipity,0,2001,\N,90,"Comedy,Romance"
tt0243736,movie,40 Days and 40 Nights,40 Days and 40 Nights,0,2002,\N,96,"Comedy,Romance"
tt0246894,movie,Rollerball,Rollerball,0,2002,\N,98,"Action,Sci-Fi,Sport"
tt0247638,movie,The Princess Diaries,The Princess Diaries,0,2001,\N,115,"Comedy,Family,Romance"
tt0250612,movie,Never Die Twice,Never Die Twice,0,2001,\N,\N,Sci-Fi
tt0253867,movie,The Sweetest Thing,The Sweetest Thing,0,2002,\N,84,"Comedy,Romance"
tt0257756,movie,High Crimes,High Crimes,0,2002,\N,115,"Crime,Drama,Mystery"
tt0264802,movie,Live Nude Girls Unite!,Live Nude Girls Unite!,0,2000,\N,75,Documentary
tt0271894,tvSeries,48 Hours,Forty Eight Hours,0,1988,\N,60,"Crime,Documentary"
tt0273253,movie,Haiku Tunnel,Haiku Tunnel,0,2001,\N,88,Comedy
tt0286716,movie,Hulk,Hulk,0,2003,\N,138,"Action,Sci-Fi"
tt0290498,movie,By Hook or by Crook,By Hook or by Crook,0,2001,\N,98,"Crime,Drama,Romance"
tt0294870,movie,Rent,Rent,0,2005,\N,135,"Drama,Musical,Romance"
tt0298798,movie,Cherish,Cherish,0,2002,\N,99,"Comedy,Drama,Mystery"
tt0298814,movie,The Core,The Core,0,2003,\N,135,"Action,Adventure,Sci-Fi"
tt0304415,movie,Mona Lisa Smile,Mona Lisa Smile,0,2003,\N,117,Drama
tt0315297,movie,Twisted,Twisted,0,2004,\N,97,"Crime,Drama,Mystery"
tt0315983,movie,House of Sand and Fog,House of Sand and Fog,0,2003,\N,126,"Crime,Drama"
tt0317910,movie,The Fog of War,The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,0,2003,\N,107,"Biography,Documentary,History"
tt0328589,movie,Under the Tuscan Sun,Under the Tuscan Sun,0,2003,\N,113,"Comedy,Drama,Romance"
tt0337692,movie,On the Road,On the Road,0,2012,\N,124,"Adventure,Drama,Romance"
tt0342300,movie,Dopamine,Dopamine,0,2003,\N,79,"Comedy,Drama,Romance"
tt0343660,movie,50 First Dates,50 First Dates,0,2004,\N,99,"Comedy,Drama,Romance"
tt0350041,movie,Red Diaper Baby,Red Diaper Baby,0,2004,\N,91,Comedy
tt0351885,movie,Tweek City,Tweek City,0,2005,\N,86,Drama
tt0357567,movie,Confessions of a Burning Man,Confessions of a Burning Man,0,2003,\N,83,Documentary
tt0358551,movie,Julie and Jack,Julie and Jack,0,2003,\N,90,"Drama,Romance,Sci-Fi"
tt0358722,movie,Swing,Swing,0,2003,\N,98,"Comedy,Fantasy,Romance"
tt0364961,movie,The Assassination of Richard Nixon,The Assassination of Richard Nixon,0,2004,\N,95,"Biography,Crime,Drama"
tt0371739,movie,The Zodiac,The Zodiac,0,2005,\N,92,"Crime,Drama,Horror"
tt0377029,movie,24 Hours on Craigslist,24 Hours on Craigslist,0,2005,\N,82,"Biography,Comedy,Documentary"
tt0377043,movie,The Californians,The Californians,0,2005,\N,87,Drama
tt0379402,movie,Night of Henna,Night of Henna,0,2005,\N,92,"Comedy,Romance"
tt0386284,movie,American Yearbook,American Yearbook,0,2004,\N,97,"Drama,Thriller"
tt0387059,movie,Bee Season,Bee Season,0,2005,\N,104,"Drama,Family"
tt0395843,tvSeries,CSI: NY,CSI: NY,0,2004,2013,43,"Action,Crime,Drama"
tt0399877,movie,What the #$*! Do We (K)now!?,What the #$*! Do We (K)now!?,0,2004,\N,109,"Comedy,Documentary,Drama"
tt0417667,movie,Fandom,Fandom,0,2004,\N,94,"Comedy,Drama"
tt0423455,tvMovie,Hemingway & Gellhorn,Hemingway & Gellhorn,0,2012,\N,155,"Biography,Drama,Romance"
tt0425123,movie,Just Like Heaven,Just Like Heaven,0,2005,\N,95,"Comedy,Drama,Fantasy"
tt0443706,movie,Zodiac,Zodiac,0,2007,\N,157,"Crime,Drama,Mystery"
tt0454921,movie,The Pursuit of Happyness,The Pursuit of Happyness,0,2006,\N,117,"Biography,Drama"
tt0478970,movie,Ant-Man,Ant-Man,0,2015,\N,117,"Action,Comedy,Sci-Fi"
tt0831387,movie,Godzilla,Godzilla,0,2014,\N,123,"Action,Adventure,Sci-Fi"
tt0907842,movie,The Bridge,The Bridge,0,2006,\N,69,Drama
tt1013753,movie,Milk,Milk,0,2008,\N,128,"Biography,Drama,History"
tt1020938,movie,Babies,Bébé(s),0,2010,\N,79,Documentary
tt10838180,movie,The Matrix Resurrections,The Matrix Resurrections,0,2021,\N,148,"Action,Sci-Fi"
tt10888878,tvMiniSeries,Clickbait,Clickbait,0,2021,2021,50,"Crime,Drama,Mystery"
tt10954600,movie,Ant-Man and the Wasp: Quantumania,Ant-Man and the Wasp: Quantumania,0,2023,\N,124,"Action,Adventure,Comedy"
tt11097374,tvSeries,Blindspotting,Blindspotting,0,2021,2023,30,"Comedy,Crime,Drama"
tt11173006,tvSeries,Super Pumped,Super Pumped: The Battle for Uber,0,2022,\N,60,"Biography,Drama"
tt1212419,movie,Hereafter,Hereafter,0,2010,\N,129,"Drama,Fantasy,Romance"
tt1226837,movie,Beautiful Boy,Beautiful Boy,0,2018,\N,120,"Biography,Drama"
tt1266020,tvSeries,Parks and Recreation,Parks and Recreation,0,2009,2015,22,Comedy
tt1270797,movie,Venom,Venom,0,2018,\N,112,"Action,Adventure,Sci-Fi"
tt13023550,movie,Shit & Champagne,Shit & Champagne,0,2020,\N,90,Comedy
tt1340138,movie,Terminator Genisys,Terminator Genisys,0,2015,\N,126,"Action,Adventure,Sci-Fi"
tt1363478,movie,Panther,Panther,0,1995,\N,83,Action
tt13649510,tvSeries,I'm a Virgo,I'm a Virgo,0,2023,2023,211,"Comedy,Drama,Fantasy"
tt13694702,tvSeries,Surface,Surface,0,2022,\N,48,"Drama,Mystery,Thriller"
tt13745850,tvSeries,The Last Thing He Told Me,The Last Thing He Told Me,0,2023,\N,\N,"Drama,Mystery,Thriller"
tt1462411,movie,Big Sur,Big Sur,0,2013,\N,81,"Drama,Romance"
tt1560747,movie,The Master,The Master,0,2012,\N,138,"Drama,History"
tt1655441,movie,The Age of Adaline,The Age of Adaline,0,2015,\N,112,"Drama,Fantasy,Romance"
tt1728102,tvSeries,Alcatraz,Alcatraz,0,2012,2012,60,"Action,Crime,Drama"
tt17676734,movie,Americana,Americana,0,2023,\N,110,"Action,Comedy,Crime"
tt18382328,movie,Earth Mama,Earth Mama,0,2023,\N,101,Drama
tt1979163,movie,180,180,0,2011,\N,107,"Comedy,Drama"
tt2080374,movie,Steve Jobs,Steve Jobs,0,2015,\N,122,"Biography,Drama"
tt2103281,movie,Dawn of the Planet of the Apes,Dawn of the Planet of the Apes,0,2014,\N,130,"Action,Adventure,Drama"
tt2126355,movie,San Andreas,San Andreas,0,2015,\N,114,"Action,Adventure,Thriller"
tt2215399,tvSeries,Red Widow,Red Widow,0,2013,2013,60,"Crime,Drama,Thriller"
tt22262600,tvMovie,A Big Fat Family Christmas,A Big Fat Family Christmas,0,2022,\N,85,"Comedy,Drama,Romance"
tt2234155,movie,The Internship,The Internship,0,2013,\N,119,Comedy
tt2334873,movie,Blue Jasmine,Blue Jasmine,0,2013,\N,98,"Comedy,Drama,Romance"
tt2369135,movie,Need for Speed,Need for Speed,0,2014,\N,132,"Action,Crime,Thriller"
tt2402061,tvSeries,Murder in the First,Murder in the First,0,2014,2016,42,"Crime,Drama,Mystery"
tt2431438,tvSeries,Sense8,Sense8,0,2015,2018,60,"Drama,Mystery,Sci-Fi"
tt25154554,tvSeries,Chef Dynasty: House of Fang,Chef Dynasty: House of Fang,0,2022,\N,\N,Reality-TV
tt2575988,tvSeries,Silicon Valley,Silicon Valley,0,2014,2019,30,Comedy
tt2581458,tvSeries,Looking,Looking,0,2014,2015,30,"Comedy,Drama,Romance"
tt2666270,tvSeries,About a Boy,About a Boy,0,2014,2015,22,"Comedy,Drama,Romance"
tt2698124,movie,GOD IS A COMMUNIST!?* (show me heart universe),GOD IS A COMMUNIST!?* (show me heart universe),0,2013,\N,101,Comedy
tt2720826,movie,Birth of the Dragon,Birth of the Dragon,0,2016,\N,95,"Action,Biography,Drama"
tt2884170,tvSeries,Knife Fight,Knife Fight,0,2013,\N,\N,Reality-TV
tt2891574,tvSeries,Ballers,Ballers,0,2015,2019,30,"Comedy,Drama,Sport"
tt3018528,movie,Quitters,Quitters,0,2015,\N,95,"Comedy,Drama"
tt3172532,movie,The Diary of a Teenage Girl,The Diary of a Teenage Girl,0,2015,\N,102,"Comedy,Drama,Romance"
tt3596382,movie,Love & Taxes,Love & Taxes,0,2015,\N,90,"Comedy,Romance"
tt3664992,movie,MDMA,Angie X,0,2017,\N,98,"Crime,Drama"
